designation,phot_g_mean_mag,phot_g_mean_error,bp_rp,Name,distance_known (Mpc),radial_velocity (km/s),vel_error
Gaia DR3 3999002134720427392,20.320578,0.0232,1.7871943,NGC 3561,126.41,8619,3
Gaia DR3 839362576737106432,22.028164,0.0512,,Arp's Galaxy,,,
Gaia DR3 6625720570070068992,16.497725,0.0081,1.1217041,NGC 7252,67.45230664,4792,1
Gaia DR3 1960066225988786048,13.773007,0.0125,1.4714041,BL Lac,276.0000358,20026,60
Gaia DR3 4010406647281108992,19.29367,0.006,1.0980148,NGC 4286,,637,6
Gaia DR3 1070470609404512512,15.129488,0.0087,1.5550938,NGC 3031,3.6,-39,3
Gaia DR3 1960066225988786048,14.5612,0.0066,1.4714041,3C 120,,9896,9
Gaia DR3 4788661249667522816,19.172634,,2.2019386,Carafe Dwarf,,,
Gaia DR3 5006952103491898624,21.881489,0.0591,1.6381607,ESO 350-40,150,9050,3
Gaia DR3 6088704625623244416,21.136463,0.0476,,NGC 5128,3.84,547,5
Gaia DR3 6307545647572172672,20.6,20.6,1.058773,Fath 703,30.66013938,2285,1
Gaia DR3 3930256956900476544,18.0601,0.0012,0.7042885,GR8,1,214,3
Gaia DR3 1037829781374251392,18.045338,0.0183,1.4319906,Helix Galaxy,8.80E-07,883,4
Gaia DR3 5099811804692905856,20.104141,0.008,1.4078102,NGC 1325A,23.01,1333,1
Gaia DR3 1665288292449012352,18.829496,0.0092,1.4077244,NGC 5216,,2924,2
Gaia DR3 5262021655629170432,19.289112,0.0113,1.6627893,Lindsay-Shapley Ring,91.98041814,6604,26
Gaia DR3 6427452132224782208,21.24026,0.0336,1.4384403,McLeish's Object,16.58713541,11300,30
Gaia DR3 465045662816213248,21.02417,0.037,3.3293333,Maffei 1,3.625,66,5
Gaia DR3 3932516418935413504,20.139946,0.0155,1.5320187,Malin 1,366,24793,4
Gaia DR3 2485777850876837760,19.90577,0.0206,1.4617052,Arp 133,70.51832058,5422,6
Gaia DR3 239421714972514688,14.054305,0.0118,1.0714989,Perseus A,76.65034845,5297,9
Gaia DR3 6175113904412889344,18.91567,0.025,1.3015184,Seashell Galaxy,21.6,4310,6
Gaia DR3 3849401483133349632,20.201077,0.009,0.6302204,Sextans B,1.36,301,1
Gaia DR3 6147116009041779968,16.55935,0.0065,1.2893305,NGC 4507,,3538,9
Gaia DR3 6678937929289824000,18.282452,0.0157,1.5654383,IC 4946,40.9,2902,18
Gaia DR3 3530135742021065472,16.155354,0.0223,1.497201,Sombrero Galaxy,9.55,1089,1
Gaia DR3 3772282665274650624,15.829012,0.0253,1.4545937,Spindle Galaxy,15.3,686,3
Gaia DR3 6415921553786126592,18.287868,0.0035,1.9801397,Superantennae,,18500,80
Gaia DR3 303379863975504512,15.113876,0.0048,1.0175495,Triangulum galaxy,0.97,-179,1
Gaia DR3 3600361996363616256,18.026588,0.0177,1.1104984,Arp 248,,5276,7
Gaia DR3 1407390177932918400,18.913204,0.0185,1.4882326,Arp 103,,,